ID PIP,ID MS,TIP_SWAP,Fecha de Inicio,Fecha de Vencimiento,Nominal Recibe,Tasa de Referencia Recibe,Tasa Fija Recibe,Spread Recibe,Nominal Entrega,Tasa de Referencia Entrega,Tasa Fija Entrega,Spread Entrega,Pata Larga,Pata Corta,Valuación
MSCB0000532,3qvk4,6LUSUSD,03/06/2013,05/06/2023,51000000,LUS182,2.2713,0,51000000,LUS091,0,0,142185357.2,114770652.3,27414704.87
MSCB0000533,3qvk5,6LUSUSD,03/06/2013,05/06/2023,4500000,LUS182,2.2713,0,4500000,LUS091,0,0,12545766.81,10126822.27,2418944.548
MSCB0000534,3qvk6,6LUSUSD,03/06/2013,05/06/2023,63000000,LUS182,2.2713,0,63000000,LUS091,0,0,175640735.4,141775511.7,33865223.67
MSCB0000535,ws3s2,6LUSUSD,26/06/2013,23/05/2023,11500000,LUS182,2.77,0,11500000,LUS091,0,0,39109761.06,25751307.67,13358453.4
MSCB0000536,ws3s3,6LUSUSD,26/06/2013,23/05/2023,70000000,LUS182,2.77,0,70000000,LUS091,0,0,238059415.2,156747090.2,81312325.02
MSCB0000537,ws3s4,6LUSUSD,26/06/2013,23/05/2023,76250000,LUS182,2.77,0,76250000,LUS091,0,0,259314720.1,170742366.1,88572354.04
MSCB0000538,ws3s5,6LUSUSD,26/06/2013,23/05/2023,92250000,LUS182,2.77,0,92250000,LUS091,0,0,313728300.7,206570272.4,107158028.3
MSCB0000541,3sqtu,6LUSUSD,26/09/2013,26/09/2023,15500000,LUS182,2.8262,0,15500000,LUS091,0,0,53485487.47,36496889.34,16988598.13
MSCB0000542,3squs,6LUSUSD,26/09/2013,26/09/2023,19500000,LUS182,2.8262,0,19500000,LUS091,0,0,67288193.91,45915441.43,21372752.48
MSCB0000543,3squt,6LUSUSD,26/09/2013,26/09/2023,15000000,LUS182,2.8262,0,15000000,LUS091,0,0,51760149.16,35319570.33,16440578.83
MSCB0000546,3srfd,6LUSUSD,27/09/2013,27/09/2023,15000000,LUS182,2.7875,0,15000000,LUS091,0,0,51048859.56,35331587.16,15717272.4
MSCB0000549,3sug0,6LUSUSD,04/10/2013,04/10/2023,20000000,LUS182,2.7837,0,20000000,LUS091,0,0,72149464.66,47417424.61,24732040.04
MSCB0000555,3a58a,6LUSUSD,30/10/2013,30/10/2023,2000000,LUS182,2.6645,0,2000000,LUS091,0,0,6902276.785,4785324.208,2116952.577
MSCB0000556,3a58b,6LUSUSD,30/10/2013,30/10/2023,36000000,LUS182,2.6645,0,36000000,LUS091,0,0,124240982.1,86135835.74,38105146.39
MSCB0000560,3a5xt,6LUSUSD,31/10/2013,31/10/2023,1800000,LUS182,2.6552,0,1800000,LUS091,0,0,6190274.602,4307726.661,1882547.942
MSCB0000561,3a5xw,6LUSUSD,31/10/2013,31/10/2023,32400000,LUS182,2.6552,0,32400000,LUS091,0,0,111424942.8,77539079.89,33885862.95
MSCB0000562,3a5xx,6LUSUSD,31/10/2013,31/10/2023,34200000,LUS182,2.6552,0,34200000,LUS091,0,0,117615217.4,81846806.55,35768410.89
MSCB0000563,3a5xy,6LUSUSD,31/10/2013,31/10/2023,21600000,LUS182,2.6552,0,21600000,LUS091,0,0,74283295.23,51692719.93,22590575.3
MSCB0000564,3a6gz,6LUSUSD,01/11/2013,01/11/2023,1600000,LUS182,2.626,0,1600000,LUS091,0,0,5438145.066,3830568.004,1607577.062
MSCB0000565,3a6h2,6LUSUSD,01/11/2013,01/11/2023,30400000,LUS182,2.626,0,30400000,LUS091,0,0,103324756.3,72780792.09,30543964.17
MSCB0000566,3a6h3,6LUSUSD,01/11/2013,01/11/2023,28800000,LUS182,2.626,0,28800000,LUS091,0,0,97886611.19,68950224.08,28936387.11
MSCB0000567,3a6h4,6LUSUSD,01/11/2013,01/11/2023,19200000,LUS182,2.626,0,19200000,LUS091,0,0,65257740.79,45966816.05,19290924.74
MSCB0000568,ws301,1USDLUS,03/06/2013,05/06/2023,31500000,LUS091,0,0,31500000,LUS182,2.2412,0,70887755.86,86656543.86,-15768788
MSCB0000569,ws302,1USDLUS,03/06/2013,05/06/2023,51000000,LUS091,0,0,51000000,LUS182,2.2412,0,114770652.3,140301071,-25530418.67
MSCB0000570,ws303,1USDLUS,03/06/2013,05/06/2023,4500000,LUS091,0,0,4500000,LUS182,2.2412,0,10126822.27,12379506.27,-2252684
MSCB0000571,ws304,1USDLUS,03/06/2013,05/06/2023,63000000,LUS091,0,0,63000000,LUS182,2.2412,0,141775511.7,173313087.7,-31537576.01
MSCB0000572,3r6aq,1USDLUS,26/06/2013,23/05/2023,11500000,LUS091,0,0,11500000,LUS182,2.74,0,25751307.67,38686189.64,-12934881.98
